2009,4,3,ABT,Buy,100
2009,4,13,ABT,Sell,100
2009,9,22,ACE,Buy,100
2009,9,29,ACE,Sell,100
2009,8,28,ACN,Buy,100
2009,9,4,ACN,Sell,100
2008,8,5,ADM,Buy,100
2008,8,12,ADM,Sell,100
2008,2,27,ADSK,Buy,100
2008,3,5,ADSK,Sell,100
2009,11,18,ADSK,Buy,100
2009,11,25,ADSK,Sell,100
2009,9,10,AEE,Buy,100
2009,9,17,AEE,Sell,100
2008,5,15,AEP,Buy,100
2008,5,22,AEP,Sell,100
2009,4,29,AET,Buy,100
2009,5,6,AET,Sell,100
2009,5,1,AGN,Buy,100
2009,5,8,AGN,Sell,100
2009,6,3,AIG,Buy,100
2009,6,10,AIG,Sell,100
2009,10,19,AIG,Buy,100
2009,10,26,AIG,Sell,100
2009,7,30,AKAM,Buy,100
2009,8,6,AKAM,Sell,100
2009,9,21,AMAT,Buy,100
2009,9,28,AMAT,Sell,100
2009,5,4,AMT,Buy,100
2009,5,11,AMT,Sell,100
2009,5,8,AMT,Buy,100
2009,5,15,AMT,Sell,100
2009,5,1,AON,Buy,100
2009,5,8,AON,Sell,100
2008,8,11,APD,Buy,100
2008,8,18,APD,Sell,100
2009,12,21,APD,Buy,100
2009,12,29,APD,Sell,100
2009,7,22,ATI,Buy,100
2009,7,29,ATI,Sell,100
2009,5,8,AZO,Buy,100
2009,5,15,AZO,Sell,100
2009,8,3,AZO,Buy,100
2009,8,10,AZO,Sell,100
2009,4,3,BAX,Buy,100
2009,4,13,BAX,Sell,100
2009,6,4,BAX,Buy,100
2009,6,11,BAX,Sell,100
2009,10,15,BAX,Buy,100
2009,10,22,BAX,Sell,100
2009,5,7,BBBY,Buy,100
2009,5,14,BBBY,Sell,100
2009,7,23,BCR,Buy,100
2009,7,30,BCR,Sell,100
2009,7,27,BCR,Buy,100
2009,8,3,BCR,Sell,100
2008,5,19,BDX,Buy,100
2008,5,27,BDX,Sell,100
2009,5,29,BF.B,Buy,100
2009,6,5,BF.B,Sell,100
2009,4,30,BLL,Buy,100
2009,5,7,BLL,Sell,100
2008,4,7,BMC,Buy,100
2008,4,14,BMC,Sell,100
2009,12,14,C,Buy,100
2009,12,21,C,Sell,100
2009,12,21,CAG,Buy,100
2009,12,29,CAG,Sell,100
2009,6,2,CAH,Buy,100
2009,6,9,CAH,Sell,100
2008,7,30,CBG,Buy,100
2008,8,6,CBG,Sell,100
2008,5,15,CELG,Buy,100
2008,5,22,CELG,Sell,100
2008,8,11,CF,Buy,100
2008,8,18,CF,Sell,100
2009,9,17,CLX,Buy,100
2009,9,24,CLX,Sell,100
2008,2,27,CMS,Buy,100
2008,3,5,CMS,Sell,100
2008,5,19,CPB,Buy,100
2008,5,27,CPB,Sell,100
2009,5,29,CTAS,Buy,100
2009,6,5,CTAS,Sell,100
2009,12,23,CTAS,Buy,100
2009,12,31,CTAS,Sell,100
2009,9,18,CVH,Buy,100
2009,9,25,CVH,Sell,100
2009,5,5,DF,Buy,100
2009,5,12,DF,Sell,100
2009,10,16,DFS,Buy,100
2009,10,23,DFS,Sell,100
2009,7,28,DGX,Buy,100
2009,8,4,DGX,Sell,100
2009,9,16,DGX,Buy,100
2009,9,23,DGX,Sell,100
2009,5,1,DLTR,Buy,100
2009,5,8,DLTR,Sell,100
2008,5,1,DNR,Buy,100
2008,5,8,DNR,Sell,100
2008,8,5,DNR,Buy,100
2008,8,12,DNR,Sell,100
2008,8,11,DO,Buy,100
2008,8,18,DO,Sell,100
2009,8,7,DRI,Buy,100
2009,8,14,DRI,Sell,100
2009,6,5,DTV,Buy,100
2009,6,12,DTV,Sell,100
2008,8,15,DV,Buy,100
2008,8,22,DV,Sell,100
2009,5,4,DV,Buy,100
2009,5,11,DV,Sell,100
2008,5,16,EA,Buy,100
2008,5,23,EA,Sell,100
2009,6,5,EFX,Buy,100
2009,6,12,EFX,Sell,100
2008,12,31,ESRX,Buy,100
2009,1,8,ESRX,Sell,100
2009,8,28,EW,Buy,100
2009,9,4,EW,Sell,100
2008,5,19,EXPE,Buy,100
2008,5,27,EXPE,Sell,100
2009,9,17,F,Buy,100
2009,9,24,F,Sell,100
2009,5,7,FDO,Buy,100
2009,5,14,FDO,Sell,100
2009,8,13,FDO,Buy,100
2009,8,20,FDO,Sell,100
2009,5,29,FLIR,Buy,100
2009,6,5,FLIR,Sell,100
2008,8,5,FLS,Buy,100
2008,8,12,FLS,Sell,100
2008,8,11,FSLR,Buy,100
2008,8,18,FSLR,Sell,100
2009,3,18,GIS,Buy,100
2009,3,25,GIS,Sell,100
2009,8,7,GIS,Buy,100
2009,8,14,GIS,Sell,100
2009,5,6,GME,Buy,100
2009,5,13,GME,Sell,100
2008,2,26,GOOG,Buy,100
2008,3,4,GOOG,Sell,100
2009,8,28,GT,Buy,100
2009,9,4,GT,Sell,100
2008,8,15,HAR,Buy,100
